_id,article_link_list,article_mall,article_referrals,article_date_full,article_price,article_worthy,data_from,article_is_sold_out,article_id,article_channel,article_tese_tags,article_comment,article_unworthy,article_author,article_item_title_mode,article_stock_note,taobao_url,timesort,top_category,create_date,article_link_name,article_channel_url,article_link,article_category,category_layer,gtm,link_nofollow,article_mall_url,article_is_timeout,article_channel_class,article_url,article_channel_id,article_channel_note,article_date,article_title,article_collection,article_link_domain,price,action
6736692,?,京东,?,2016-12-12 00:09:00,3999元起,167,api,0,6736692,国内,?,209,624,761,0,?,?,148147254848,电脑数码,2017-01-22 03:39:55,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/b264efc558a2ac10/ca_aa_yh_163_6736692_761_1933_165,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6736692/,3,?,2016-12-12 00:09,MI 小米 MIX 全面屏概念手机,79,jd.com,3999,view
6733525,?,京东,予行与行,2016-12-10 17:14:00,49元包邮（双重优惠）,63,api,0,6733525,国内,?,96,9,729,0,?,?,148136129494,食品保健,2017-01-22 03:40:37,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/628baed9b73f573b/ca_aa_yh_95_6733525_729_27813_1635,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6733525/,3,?,2016-12-10 17:14,明珠 熟鱼片 100g*6件,62,jd.com,49,buy
6731029,?,天猫精选,?,2016-12-10 11:44:00,1829元包邮（99元定金，12.12付尾款，需用券）,409,api,0,6731029,国内,?,165,10,870,0,?,?,148134148631,日用百货,2017-01-22 03:40:50,?,http://www.smzdm.com/youhui/,https://detail.tmall.com/item.htm?id=532859714121,?,?,?,rel= nofollow,http://www.smzdm.com/mall/tmall/,0,z-tag-guonei,http://www.smzdm.com/p/6731029/,3,?,2016-12-10 11:44,双12预售：kai 贝印 shun旬刀纪念套刀（旬Classic中华菜刀DM-0712+水果刀DM-0700）,121,tmall.com,1829,dislike
6731102,?,美国亚马逊,No2水晶,2016-12-09 20:22:00,$129.99+$21.15含税直邮（约￥1037）,36,api,0,6731102,海淘,?,65,108,731,0,?,?,148128612479,电脑数码,2017-01-22 03:41:03,?,http://haitao.smzdm.com/,http://go.smzdm.com/b46131d14b1ad23f/ca_aa_ht_163_6731102_731_257_4939,?,?,?,rel= nofollow,http://www.smzdm.com/mall/amazon/,0,z-tag-haitao,http://www.smzdm.com/p/6731102/,3,?,2016-12-09 20:22,SAMSUNG 三星 Gear Fit 2 智能手环,29,amazon.com,1037,dislike
6730703,?,京东,水的颜色,2016-12-09 19:10:00,3890元包邮（3990-100）,30,api,0,6730703,国内,?,29,11,293,0,?,?,148128181032,家用电器,2017-01-22 03:41:10,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/e05676810d5d5188/ca_aa_yh_27_6730703_293_383_33,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6730703/,3,?,2016-12-09 19:10,Delonghi 德龙 ESAM2200.S 全自动咖啡机,37,jd.com,3890,dislike
6724906,?,京东,?,2016-12-08 11:24:00,103元包邮（下单立减）,87,api,0,6724906,国内,?,49,9,523,0,?,?,148116748027,食品保健,2017-01-22 03:50:06,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/7065bb3b74ee143b/ca_aa_yh_95_6724906_523_37253_1635,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6724906/,3,?,2016-12-08 11:24,艾波索 米歇尔巧克力芝士蛋糕 6寸,115,jd.com,103,buy
6719283,?,京东,xiaomengxianer,2016-12-06 22:11:00,2299元包邮,153,api,0,6719283,国内,?,264,462,731,0,?,?,148103351839,电脑数码,2017-01-22 03:51:29,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/89fae8c94f583d2d/ca_aa_yh_163_6719283_731_257_165,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6719283/,3,?,2016-12-06 22:11,SAMSUNG 三星 Galaxy S6 32GB 智能手机 电信版,68,jd.com,2299,dislike
6719424,?,苏宁易购,cyw123456823,2016-12-06 22:10:00,2199元包邮（需10元定金）,35,api,0,6719424,国内,?,39,15,495,0,?,?,148103340238,办公设备,2017-01-22 03:51:29,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/2ee7e1a3960db641/ca_aa_yh_177_6719424_495_1761_187,?,?,?,rel= nofollow,http://www.smzdm.com/mall/suning/,0,z-tag-guonei,http://www.smzdm.com/p/6719424/,3,?,2016-12-06 22:10,预定：BenQ 明基 i300t 高清无线投影机,61,suning.com,2199,dislike
6719458,?,GILT,Mr_Mr,2016-12-06 21:45:00,$209.7（约￥1580，用码）,77,api,0,6719458,海淘,?,41,9,765,0,?,?,148103192529,服饰鞋包,2017-01-22 03:51:29,?,http://haitao.smzdm.com/,http://go.smzdm.com/3116024311ea0218/ca_aa_ht_57_6719458_765_1237_137,?,?,?,rel= nofollow,http://www.smzdm.com/mall/gilt/,0,z-tag-haitao,http://www.smzdm.com/p/6719458/,3,?,2016-12-06 21:45,TUMI Alpha T-Pass 双肩背包,72,gilt.com,1580,dislike
6718603,?,京东,济宁,2016-12-06 18:48:00,349元包邮（399-50）,21,api,0,6718603,国内,?,13,8,361,0,?,?,148102129058,电脑数码,2017-01-22 03:51:55,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/41451a8571c73b36/ca_aa_yh_163_6718603_361_345_175,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6718603/,3,?,2016-12-06 18:48,pioneer 先锋 SE-CX8 入耳式耳机,18,jd.com,349,view
6714909,?,京东,smilekos,2016-12-05 19:02:00,9.9元，可99-50,33,api,0,6714909,国内,?,63,40,729,0,?,?,148093573472,食品保健,2017-01-22 03:53:02,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/72021ac38a11c9dd/ca_aa_yh_95_6714909_729_9335_1635,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6714909/,3,?,2016-12-05 19:02,限地区：Be&Cheery 百草味 开心果 100g,37,jd.com,9.9,buy
6706920,?,聚划算,?,2016-12-05 10:16:00,34.85元包邮（ 双重优惠）,41,api,0,6706920,国内,?,55,28,707,0,?,?,148090420594,食品保健,2017-01-22 03:53:26,商品链接,http://www.smzdm.com/youhui/,https://detail.tmall.com/item.htm?id=40049678724&root_refer=https-3A-2F-2Fju.taobao.com-2F&tracelog=jubuyitnow&skuId=3111415842887,?,?,?,rel= nofollow,http://www.smzdm.com/mall/taobao_ju/,0,z-tag-guonei,http://www.smzdm.com/p/6706920/,3,?,2016-12-05 10:16,Ten Wow 天喔 无漂白香脆开心果 208g*2,26,tmall.com,34.85,buy
6703594,?,京东,lyqzxy,2016-12-02 11:23:00,各品类券/免运费券等,42,api,0,6703594,国内,?,439,841,135,0,?,?,148064902511,家用电器,2017-01-22 03:55:09,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/1281a1fd87867ca9/ca_aa_yh_27_6703594_135_0_0,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6703594/,3,?,2016-12-02 11:23,今日必领：京东 会员中心 12月礼包,164,jd.com,0,buy
6635042,?,京东,派拉萌,2016-11-13 09:02:00,9.5元，可199-150,24,api,0,6635042,国内,?,23,14,857,0,?,?,147899895153,食品保健,2017-01-22 04:13:49,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/e9ce7a5606552464/ca_aa_yh_95_6635042_857_0_1635,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6635042/,3,?,2016-11-13 09:02,TAWANDANG 小浣熊 多口味 调味海苔片 35g,2,jd.com,9.5,buy
6635174,?,京东,?,2016-11-13 08:38:00,16元，可199-150,38,api,0,6635174,国内,?,61,11,255,0,?,?,147899748348,食品保健,2017-01-22 04:13:49,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/91d91f1792dd64d2/ca_aa_yh_95_6635174_255_35563_1635,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6635174/,3,?,2016-11-13 08:38,历史新低：POPCORNERS 多明戈·波波 原味/甜椒味玉米片 85g,36,jd.com,16,buy
6635170,?,京东,?,2016-11-13 02:59:00,7元，可199-150,24,api,0,6635170,国内,?,53,19,255,0,?,?,147897715645,食品保健,2017-01-22 04:13:49,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/ba9f7e6eff4e3fdf/ca_aa_yh_95_6635170_255_20623_101,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6635170/,3,?,2016-11-13 02:59,九日 加糖桃果肉果汁饮料 238ml,16,jd.com,7,buy
6635167,?,京东,?,2016-11-13 02:52:00,15.5元，可199-150,29,api,0,6635167,国内,?,23,5,255,0,?,?,147897675743,食品保健,2017-01-22 04:13:49,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/97b78638ca7f2167/ca_aa_yh_95_6635167_255_20623_1635,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6635167/,3,?,2016-11-13 02:52,九日 蜂蜜扁桃仁（黄油味） 80g,17,jd.com,15.5,buy
